tiempo_s,unidad
0.10375,1
0.15945,0
0.1724,0
0.2833,1
0.3067,0
0.32655,0
0.36455,2
0.4554,0
0.4986,0
0.56185,0
0.5706,0
0.6311,1
0.65415,0
0.73065,1
0.74735,0
0.90445,2
1.1961,1
1.24185,0
1.26175,0
1.3043,0
1.33565,1
1.3563,1
1.4475,0
1.46485,0
1.47875,0
1.4938,1
1.4999,0
1.50935,0
1.55035,0
1.59495,0
1.6091,0
1.65005,0
1.65235,2
1.71015,0
1.78295,1
1.8698,2
1.97765,0
2.01395,1
2.03215,0
2.08945,0
2.1274,2
2.2419,2
2.24865,0
2.29425,0
2.413,0
2.45545,2
2.4735,2
2.53755,2
2.5565,1
2.5639,0
2.6053,2
2.61655,0
2.70135,1
2.76245,0
2.7676,0
2.8498,0
2.9283,0
2.97005,0
2.98775,0
3.0121,2
3.0613,2
3.11475,0
3.13075,0
3.15185,0
3.17775,0
3.23115,0
3.27715,1
3.33635,0
3.41565,0
3.42955,0
3.4686,1
3.4907,0
3.72645,0
3.7365,1
3.76105,0
3.8222,0
3.8528,0
3.90725,0
3.92395,1
3.93665,0
3.96175,1
4.02335,0
4.06435,0
4.07055,0
4.08455,0
4.1348,0
4.16615,0
4.20235,0
4.20845,2
4.24105,1
4.271,0
4.30065,0
4.32655,1
4.33135,0
4.3338,0
4.33855,1
4.376,0
4.38405,0
4.39555,2
4.4204,2
4.5773,2
4.67725,0
4.8266,0
4.8298,0
4.9075,0
4.9347,0
4.96685,2
5.02295,0
5.0314,0
5.039,0
5.0577,0
5.2431,2
5.2622,1
5.2982,0
5.35885,2
5.47905,0
5.5096,1
5.61095,0
5.6404,2
5.68235,0
5.93975,1
6.03445,2
6.1731,1
6.17965,0
6.2286,0
6.24905,0
6.26695,0
6.31445,0
6.3403,2
6.3795,1
6.4071,0
6.45235,0
6.48785,0
6.53315,0
6.58165,1
6.5905,0
6.63185,0
6.69455,0
6.78505,0
6.8907,2
6.9374,0
6.99585,0
7.0015,0
7.004,2
7.00755,2
7.01035,2
7.102,0
7.2161,1
7.2785,1
7.3421,0
7.36785,2
7.4368,2
7.45275,0
7.52955,1
7.578,0
7.60745,1
7.70745,0
7.72925,1
7.81675,0
7.8431,0
7.8601,2
7.89965,0
8.0108,0
8.0504,1
8.2903,0
8.31015,0
8.4404,0
8.45075,0
8.5118,1
8.513,0
8.5663,0
8.6717,1
8.6766,2
8.7296,0
8.75555,2
8.84215,1
8.96405,2
9.09105,0
9.1176,0
9.16565,0
9.2261,0
9.25305,0
9.30125,0
9.3165,0
9.3308,0
9.3674,0
9.43225,0
9.4394,0
9.4986,1
9.51975,1
9.5364,1
9.5451,0
9.6575,0
9.6612,0
9.74875,0
9.7576,2
9.79465,1
9.8009,2
9.84085,0
9.88995,0
9.9842,1
10.0053,2
10.0968,1
10.10575,0
10.14365,0
10.1466,1
10.17735,0
10.2348,0
10.2737,2
10.3092,0
10.37555,1
10.7974,0
10.82755,1
10.8969,2
10.9109,0
10.95865,0
10.9645,1
10.98265,0
11.19625,0
11.2139,0
11.307,1
11.32265,0
11.3412,1
11.36145,0
11.37885,0
11.41665,0
11.47035,0
11.5571,0
11.57285,0
11.59065,1
11.61115,1
11.65405,0
11.6755,2
11.8434,0
11.8663,1
11.8841,1
11.89485,0
11.99095,1
12.0297,2
12.03315,2
12.0395,1
12.17415,0
12.22535,0
12.23705,1
12.25815,1
12.26145,0
12.27445,0
12.28925,0
12.37755,0
12.41925,1
12.50015,1
12.55605,2
12.5622,0
12.6289,0
12.63805,0
12.77665,0
12.9561,0
13.02755,0
13.0506,0
13.0651,0
13.0774,1
13.08355,1
13.1444,0
13.1648,2
13.2457,1
13.43575,1
13.4494,1
13.4517,1
13.4539,0
13.48665,0
13.49565,0
13.5759,0
13.6616,0
13.67965,1
13.73185,2
13.81755,0
13.84425,0
13.8654,0
13.94085,1
14.00155,2
14.01295,1
14.07615,1
14.14125,0
14.15105,0
14.19745,0
14.36595,0
14.40875,2
14.45545,0
14.4579,0
14.5916,1
14.63175,1
14.65955,0
14.67675,0
14.68655,0
14.7064,1
14.7832,1
14.83115,1
14.87275,1
14.9166,0
14.9552,0
15.102,0
15.1304,0
15.1561,1
15.1707,1
15.2881,0
15.29795,1
15.3159,2
15.52795,1
15.53855,2
15.5755,0
15.71515,0
15.82175,1
15.85815,0
15.8863,0
16.01645,0
16.06955,0
16.0941,1
16.1104,0
16.18085,0
16.20965,0
16.2204,1
16.28985,1
16.3141,1
16.32805,1
16.36025,2
16.3992,1
16.42115,0
16.44875,0
16.46285,2
16.57985,0
16.692,0
16.6964,2
16.7889,1
16.80965,0
16.8275,0
16.85615,1
16.9021,1
16.94225,2
16.95825,0
17.02115,1
17.0413,1
17.07605,0
17.0835,0
17.3104,0
17.3951,0
17.5688,2
17.6193,0
17.64585,0
17.66535,1
17.6991,0
17.83415,1
17.83645,0
17.87215,2
17.87815,0
17.9323,1
17.9608,0
18.03585,0
18.0425,0
18.2568,1
18.2868,1
18.3005,0
18.4852,0
18.57925,1
18.6321,2
18.6372,0
18.69165,0
18.7525,1
18.8297,0
18.85995,0
18.8742,0
18.9144,1
18.9211,1
18.9839,0
18.9942,0
19.00215,0
19.07155,0
19.1275,0
19.1525,1
19.17555,2
19.26745,1
19.29185,1
19.30315,1
19.32185,1
19.33695,0
19.40215,0
19.5143,1
19.61915,0
19.68955,0
19.70995,0
19.72025,0
19.92385,1
19.9442,2
19.94565,0
20.0446,0
20.0943,2
20.10445,0
20.1899,0
20.21475,1
20.24605,0
20.2972,1
20.3301,0
20.38055,0
20.3861,0
20.50235,0
20.5494,1
20.58675,0
20.6006,1
20.6306,1
20.6798,0
20.76195,1
20.82665,0
20.88615,0
20.91105,0
21.032,0
21.04615,0
21.0555,0
21.14615,1
21.15525,0
21.19875,0
21.212,1
21.23935,1
21.27445,0
21.3081,0
21.42595,0
21.4577,1
21.4598,1
21.5889,1
21.6147,0
21.80705,2
21.8193,1
21.87015,0
21.89525,0
21.907,1
21.91055,1
21.97825,0
21.98095,1
22.1695,0
22.1717,0
22.1886,1
22.2307,0
22.25375,2
22.29845,1
22.31955,0
22.3342,1
22.49855,0
22.5423,1
22.64545,0
22.6918,0
22.7081,1
22.74405,0
22.8446,0
22.92115,2
22.976,0
23.19515,2
23.35195,0
23.3635,2
23.3655,0
23.4513,2
23.4807,2
23.7909,1
23.80415,1
23.81785,0
23.86535,0
23.8839,0
